,Store,Location,Product,Price
412,TechnoFast,Jakarta Barat,Laptop Bekas Murah Acer Swift 3 SF314-54G Core i5 RAM 4GB SSD 256GB,Rp6.400.000
413,Bukan Jualan,Semarang,LAPTOP ACER SWIFT 3 SF314,Rp6.400.000
414,CV. TUNAS GAJAYANA,Kab. Pasuruan,Acer Swift 1 Fresh SF114 Pentium N6000 4GB 512ssd W10+OHS 14.0FHD IPS,Rp6.440.000
415,Supertech Medan,Medan,Notebook Acer Swift 1 SF114-34-P2VU Pentium N6000 4GB 512SSD W10+OHS,Rp6.445.000
416,mydays onlineshop,Tangerang,ACER SWIFT 1 SF114-34-P008 - N6000 4GB 512GB 14FHD W10 OHS - SILVER,Rp6.449.000
417,GamingCom,Jakarta Utara,ACER Swift 1 Fresh SF114-34 INTEL N6000|512GB SSD|4GB|14''FHD|W10+OHS,Rp6.449.000
418,Digital Hunter,Tangerang,ACER SWIFT 1 SF114-34-P008 - N6000 4GB 512GB 14FHD W10 OHS - SILVER,Rp6.449.000
419,Shine80,Yogyakarta,Acer Swift 3 SF314-41 AMD Athlon 300 4GB 256 SSD FHD WIN 10,Rp6.449.000
420,V-COMPUTER,Jakarta Barat,"Acer Swift 3 SF314-54G, Core i5 Gen 8, Vga Nvidia MX150, Ssd 256Gb",Rp6.450.000
421,V-COMPUTER,Jakarta Barat,"Acer Swift 3 SF314-56G, Core i5 - Gen 8th, Vga Nvidia Geforce, FHD ips",Rp6.450.000
422,TechnoFast,Jakarta Barat,Laptop Bekas Acer Swift 3 SF314-54G Core i5 RAM 4GB HDD 1TB,Rp6.450.000
423,digital88komputindo,Jakarta Pusat,ACER SWIFT 1 SF114-34-P008 (SILVER) Intel N6000 Ram 4GB SSD 512 GB,Rp6.450.000
424,Gilss CDC 69,Medan,"LAPTOP ACER SWIFT 3 SF314-41 ATHLON 300U 4GB 256GB 14"" FHD WIN10",Rp6.455.000
425,Trust IT Store,Jakarta Pusat,ACER SWIFT 1 SF114 34 P008PENTIUM SILVER N6000 4GB 512SSD 14 FHD OHS19,Rp6.459.000
426,Toserba Makmur Jaya,Kab. Sidoarjo,ACER SWIFT 3 SF314 56G Core i5 VGA MX250 RAM 12GB SSD 256GB HDD 1TB,Rp6.475.500
427,astropasaraya,Depok,"Acer Swift 1 SF114-34 (N6000/RAM 4GB/SSD512GB/14""INCH/Win10)",Rp6.490.000
428,jaya e-shop,Surabaya,"ACER SWIFT SF314-34 PENTIUM N6000 4G 512ssd 14"" FHD W10+office OriBaru",Rp6.490.000
429,OrKa,Jakarta Utara,Acer Swift INTEL Pentium N6000 14 FHD IPS 8GB 512 SSD W10 OFFICE,Rp6.497.000
430,Home Store Laptop,Bandung,Laptop Acer Swift 3 AMD Ryzen 5 3200U 8GB SSD 512GB LIKENEW,Rp6.499.000
431,LogiKiosk,Jakarta Utara,"ACER Swift 1 Fresh SF114-34 N6000 4GB 512GB 14""FHD IPS W10 OHS",Rp6.499.000
432,Sentosa Computer Official,Kab. Tangerang,"ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS W10 OHS",Rp6.499.000
433,Gadget Computer,Jakarta Utara,"Acer Swift 1 Fresh SF114-34-P008 14""/N6000/4G/512G/NX.A7ESN.001/Silver",Rp6.499.000
434,ramecastore,Tangerang Selatan,ACER SWIFT 3 CORE I5 GEN 8 RAM 8GB SSD 256GB,Rp6.500.000
435,Pantai StoreLaptop,Bandung,Laptop Acer Swift Sf314 i5-8250 8/256/Mx150,Rp6.500.000
436,laptoppribadi,Kab. Ogan Komering Ulu,Laptop acer swift 3 day edition core i7 internal 1tb ssd 128gb,Rp6.500.000
437,Zackhell,Jakarta Utara,Laptop Acer Swift 3 SF314-41 - ATHLON 300U/4GB/256GB SSD Win10 Silver,Rp6.500.000
438,laptoppribadi,Kab. Ogan Komering Ulu,LAPTOP ACER SWIFT 3 DAY EDITION CORE I7 INTERNAL 1TB SSD 128GB SECOND,Rp6.500.000
439,DK Celuller,Jakarta Barat,Acer Swift 1 Fresh SF114 34 P3ZB P2VU - Pentium N6000 4GB 512ssd W10+O,Rp6.500.000
440,khrisna computer,Semarang,ACER SWIFT 3 CI3 GEN 7/NVIDIA MX150 dedicated 2 gb appmax 4gb/1TB,Rp6.500.000
441,ThinkpadPD,Jakarta Timur,Ultrabook Acer Swift SF314-54G Core i5 8250U Mulus,Rp6.500.000
442,ThinkpadPD,Jakarta Timur,Ultrabook Acer Swift 5 SF515 Core i7 8565U Touch Slim Mulus,Rp6.500.000
